year,vwretd,vwretx,vwRetd,vwRetx,rf,AAA,BAA,tbl,lty,Rf,DP,DG
1926,0.098479,0.043033999999999996,1.098479,1.043034,0.0351,0.0468,0.0568,0.030699999999999998,0.0354,1.0351,0.05315742343969609,
1927,0.328716,0.266477,1.328716,1.266477,0.030699999999999998,0.0446,0.0532,0.0317,0.0316,1.0307,0.049143411210783874,1.1708430539453507
1928,0.391397,0.337056,1.391397,1.337056,0.0317,0.0461,0.056,0.0426,0.034,1.0317,0.04064227676327691,1.105763695705266
1929,-0.150955,-0.182395,0.849045,0.817605,0.0426,0.0467,0.0595,0.030299999999999997,0.034,1.0426,0.038453776579155,0.7735787092618842
1930,-0.289005,-0.321455,0.710995,0.678545,0.030299999999999997,0.0452,0.0671,0.0148,0.033,1.0303,0.04782291520827667,0.8438703005725208
1931,-0.44387299999999996,-0.476969,0.556127,0.523031,0.0148,0.0532,0.1042,0.0241,0.0407,1.0148,0.06327732008236608,0.6920531685670245
1932,-0.079449,-0.14066800000000002,0.920551,0.859332,0.0241,0.0459,0.0842,0.0004,0.0315,1.0241,0.07124021914696535,0.9674714403251148
1933,0.5741310000000001,0.509127,1.574131,1.5091269999999999,0.0004,0.045,0.0775,0.0029,0.0336,1.0004,0.043073909617944724,0.9124621004590083
1934,0.031843,-0.009584,1.031843,0.990416,0.0029,0.0381,0.0623,0.0023,0.0293,1.0029,0.0418278783864559,0.9617654948772397
1935,0.454487,0.395966,1.4544869999999999,1.395966,0.0023,0.0344,0.053,0.0015,0.0276,1.0023,0.041921508116959744,1.3990908039684187
1936,0.323153,0.26681900000000003,1.323153,1.266819,0.0015,0.031,0.0453,0.0012,0.0255,1.0015,0.044468862560476365,1.3437970753063069
1937,-0.346044,-0.380994,0.653956,0.619006,0.0012,0.0321,0.0573,0.0011,0.0273,1.0012,0.0564614882569798,0.7859431968260724
1938,0.28435900000000003,0.23026,1.284359,1.23026,0.0011,0.0308,0.0527,0.0003,0.0252,1.0011,0.04397363159007049,0.9581575277253229
1939,0.018435,-0.028977999999999997,1.018435,0.971022,0.0003,0.0294,0.0492,0.0004,0.0226,1.0003,0.04882793592730126,1.0782143363093546
1940,-0.07510399999999999,-0.12750799999999998,0.924896,0.872492,0.0004,0.0271,0.0445,0.0002,0.0194,1.0004,0.06006244183327756,1.073238075801997
1941,-0.100387,-0.161102,0.899613,0.838898,0.0002,0.028,0.0438,0.0033,0.0204,1.0002,0.07237471063228183,1.0108646626211732
1942,0.167218,0.090504,1.167218,1.090504,0.0033,0.0281,0.0428,0.0038,0.0246,1.0033,0.0703472889599673,1.0599558786461367
1943,0.27968699999999996,0.21598,1.279687,1.21598,0.0038,0.0274,0.0382,0.0038,0.0248,1.0038,0.05239148670208388,0.9056070381938082
1944,0.21364,0.154754,1.21364,1.154754,0.0038,0.027,0.0349,0.0038,0.0246,1.0038,0.05099441093081296,1.123961233145495
1945,0.39059299999999997,0.335428,1.390593,1.335428,0.0038,0.0261,0.031,0.0038,0.0199,1.0038,0.041308853790694745,1.081785219067349
1946,-0.064212,-0.10165199999999999,0.935788,0.898348,0.0038,0.0261,0.0317,0.0038,0.0212,1.0038,0.04167649953024876,0.906343230671621
1947,0.032933,-0.02283,1.032933,0.97717,0.0038,0.0286,0.0352,0.0095,0.0243,1.0038,0.05706581249936052,1.3379962479700913
1948,0.021313,-0.040737999999999996,1.021313,0.9592620000000001,0.0095,0.0279,0.0353,0.0116,0.0237,1.0095,0.06468618583869667,1.0873585651776219
1949,0.201096,0.121244,1.201096,1.121244,0.0116,0.0258,0.0331,0.011000000000000001,0.0209,1.0116,0.07121732646952852,1.2344521316981227
1950,0.30473,0.217426,1.30473,1.2174260000000001,0.011000000000000001,0.0267,0.032,0.0134,0.0224,1.011,0.07171195620924789,1.2258814578971065
1951,0.209441,0.142646,1.209441,1.142646,0.0134,0.0301,0.0361,0.0173,0.0269,1.0134,0.058456424824486264,0.9314346383899946
1952,0.133324,0.074015,1.133324,1.074015,0.0173,0.0297,0.0351,0.0209,0.0279,1.0173,0.055221761334804505,1.0145847984729415
1953,0.003843,-0.050273000000000005,1.003843,0.949727,0.0209,0.0313,0.0374,0.016,0.0274,1.0209,0.05698058494704273,0.9799759857694448
1954,0.50412,0.43363599999999997,1.50412,1.433636,0.016,0.029,0.0345,0.0115,0.0272,1.016,0.04916450200748307,1.236982738339861
