caldt,vwretd,vwretx
19261231,0.098479,0.043034
19271231,0.328716,0.266477
19281231,0.391397,0.337056
19291231,-0.150955,-0.182395
19301231,-0.289005,-0.321455
19311231,-0.443873,-0.476969
19321231,-0.079449,-0.140668
19331230,0.574131,0.509127
19341231,0.031843,-0.009584
19351231,0.454487,0.395966
19361231,0.323153,0.266819
19371231,-0.346044,-0.380994
19381231,0.284359,0.23026
19391230,0.018435,-0.028978
19401231,-0.075104,-0.127508
19411231,-0.100387,-0.161102
19421231,0.167218,0.090504
19431231,0.279687,0.21598
19441230,0.21364,0.154754
19451231,0.390593,0.335428
19461231,-0.064212,-0.101652
19471231,0.032933,-0.02283
19481231,0.021313,-0.040738
19491231,0.201096,0.121244
19501230,0.30473,0.217426
19511231,0.209441,0.142646
19521231,0.133324,0.074015
19531231,0.003843,-0.050273
19541231,0.50412,0.433636
19551230,0.254135,0.20404
19561231,0.085817,0.043745
19571231,-0.103484,-0.140687
19581231,0.447759,0.392664
19591231,0.126462,0.090692
19601230,0.012089,-0.021911
19611229,0.269605,0.233137
19621231,-0.103121,-0.132912
19631231,0.208876,0.170997
19641231,0.163038,0.128491
19651231,0.143859,0.109939
19661230,-0.086888,-0.116818
19671229,0.285666,0.247259
19681231,0.141689,0.109209
19691231,-0.108362,-0.13511
19701231,0.000731,-0.034063
19711231,0.161989,0.128146
19721229,0.173406,0.14256
19731231,-0.187489,-0.21178
19741231,-0.279412,-0.310612
19751231,0.373578,0.318178
19761231,0.267802,0.219255
19771230,-0.029697,-0.072922
19781229,0.085462,0.032911
19791231,0.244143,0.182911
19801231,0.332396,0.271273
19811231,-0.039868,-0.083569
19821231,0.204217,0.142451
19831230,0.226439,0.178813
19841231,0.031649,-0.01146
19851231,0.314113,0.264614
19861231,0.155616,0.11788
19871231,0.018309,-0.013574
19881230,0.175565,0.129842
19891229,0.284313,0.240259
19901231,-0.060845,-0.093885
19911231,0.336457,0.296356
19921231,0.090664,0.061186
19931231,0.115897,0.087994
19941230,-0.00758,-0.032841
19951229,0.356824,0.325181
19961231,0.211764,0.187666
19971231,0.303524,0.281866
19981231,0.222598,0.205019
19991231,0.252686,0.236493
20001229,-0.111612,-0.121423
20011231,-0.112681,-0.124471
20021231,-0.208386,-0.221066
20031231,0.331311,0.307751
20041231,0.129976,0.108473
20051230,0.073069,0.0538
20061229,0.162148,0.140519
20071231,0.072829,0.052788
20081231,-0.383043,-0.397344
20091231,0.316155,0.283971
20101231,0.178922,0.154068
20111230,-0.008992,-0.02938
20121231,0.159796,0.131174
20131231,0.316749,0.288799
20141231,0.108363,0.085683
20151231,-0.015995,-0.037069
20161230,0.129461,0.10425
20171229,0.209028,0.184488
20181231,-0.061828,-0.081145
20191231,0.297513,0.271214
